NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION	GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION		45	-0.295756	-1.1907016	0.22596154	0.51398337	1.0	2374	tags=29%, list=16%, signal=34%	
GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY		83	-0.25954345	-1.1906976	0.13774104	0.51361865	1.0	2657	tags=27%, list=18%, signal=32%	
GOBP_NERVE_DEVELOPMENT	GOBP_NERVE_DEVELOPMENT		85	-0.2598384	-1.1905912	0.15733333	0.51349443	1.0	2777	tags=31%, list=18%, signal=37%	
GOBP_PROTEIN_TRANSMEMBRANE_TRANSPORT	GOBP_PROTEIN_TRANSMEMBRANE_TRANSPORT		74	-0.26480073	-1.19015	0.15061729	0.5143354	1.0	4628	tags=39%, list=31%, signal=56%	
GOBP_IMPORT_INTO_NUCLEUS	GOBP_IMPORT_INTO_NUCLEUS		155	-0.23132412	-1.1900826	0.13725491	0.5141413	1.0	3622	tags=28%, list=24%, signal=36%	
GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION	GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION		199	-0.2230992	-1.1900337	0.07023411	0.51389945	1.0	4635	tags=34%, list=31%, signal=48%	
GOMF_GLUCOSYLTRANSFERASE_ACTIVITY	GOMF_GLUCOSYLTRANSFERASE_ACTIVITY		18	-0.37403178	-1.1900067	0.22596154	0.5135931	1.0	1850	tags=17%, list=12%, signal=19%	
HP_APLASIA_HYPOPLASIA_AFFECTING_THE_EYE	HP_APLASIA_HYPOPLASIA_AFFECTING_THE_EYE		430	-0.20439999	-1.1898519	0.043824703	0.51366967	1.0	3823	tags=30%, list=25%, signal=39%	
HP_MICROPENIS	HP_MICROPENIS		237	-0.22128442	-1.1895484	0.085365854	0.5141642	1.0	3440	tags=28%, list=23%, signal=35%	
HP_NARROW_FOREHEAD	HP_NARROW_FOREHEAD		166	-0.2286936	-1.1895455	0.0878187	0.5138006	1.0	4669	tags=39%, list=31%, signal=55%	
GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS	GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS		15	-0.38767406	-1.189366	0.2302483	0.5139113	1.0	504	tags=13%, list=3%, signal=14%	
GOBP_NEGATIVE_REGULATION_OF_TORC1_SIGNALING	GOBP_NEGATIVE_REGULATION_OF_TORC1_SIGNALING		42	-0.30414167	-1.1893559	0.21327014	0.5135653	1.0	4222	tags=36%, list=28%, signal=49%	
GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION		31	-0.32528472	-1.1891973	0.17493473	0.5136231	1.0	2925	tags=35%, list=19%, signal=44%	
