NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HP_WEIGHT_LOSS	HP_WEIGHT_LOSS		312	0.15603444	0.8051751	0.9625899	0.9982071	1.0	4158	tags=28%, list=28%, signal=37%	
GOBP_RESPONSE_TO_PAIN	GOBP_RESPONSE_TO_PAIN		29	0.2359787	0.8051369	0.74873525	0.9979793	1.0	3961	tags=34%, list=26%, signal=47%	
HP_RECURRENT_PAROXYSMAL_HEADACHE	HP_RECURRENT_PAROXYSMAL_HEADACHE		17	0.26866356	0.80506337	0.7410714	0.9978179	1.0	2285	tags=18%, list=15%, signal=21%	
GOBP_HEART_VALVE_FORMATION	GOBP_HEART_VALVE_FORMATION		15	0.27992794	0.80501664	0.7016575	0.9976025	1.0	3167	tags=27%, list=21%, signal=34%	
GOBP_RESPONSE_TO_COCAINE	GOBP_RESPONSE_TO_COCAINE		40	0.21971928	0.80490816	0.7909699	0.99750054	1.0	4733	tags=35%, list=31%, signal=51%	
HP_MEDIAN_CLEFT_PALATE	HP_MEDIAN_CLEFT_PALATE		23	0.24692073	0.8048719	0.7706422	0.99726313	1.0	3968	tags=30%, list=26%, signal=41%	
HP_ABNORMAL_FEMALE_EXTERNAL_GENITALIA_MORPHOLOGY	HP_ABNORMAL_FEMALE_EXTERNAL_GENITALIA_MORPHOLOGY		133	0.17331013	0.8044864	0.87713844	0.9976813	1.0	4006	tags=27%, list=27%, signal=37%	
GOCC_DENDRITIC_SPINE_MEMBRANE	GOCC_DENDRITIC_SPINE_MEMBRANE		15	0.27832425	0.8041865	0.7231834	0.9979297	1.0	1588	tags=20%, list=11%, signal=22%	
HP_RHEUMATOID_FACTOR_POSITIVE	HP_RHEUMATOID_FACTOR_POSITIVE		15	0.27974218	0.80409956	0.74690264	0.9977864	1.0	5026	tags=40%, list=33%, signal=60%	
HP_HYPOPLASIA_OF_THE_FRONTAL_LOBES	HP_HYPOPLASIA_OF_THE_FRONTAL_LOBES		37	0.2197477	0.8040649	0.782906	0.9975507	1.0	5324	tags=35%, list=35%, signal=54%	
GOBP_MYELOID_CELL_HOMEOSTASIS	GOBP_MYELOID_CELL_HOMEOSTASIS		150	0.17164059	0.8039867	0.8944954	0.99739885	1.0	4546	tags=34%, list=30%, signal=48%	
HP_ABNORMAL_CONJUNCTIVA_MORPHOLOGY	HP_ABNORMAL_CONJUNCTIVA_MORPHOLOGY		137	0.17120488	0.80397695	0.8829114	0.99712	1.0	2606	tags=17%, list=17%, signal=20%	
