Campione	SF_Full	SF_Clean	Variazione_Perc
m45781_ID1354_4	0.795133457562976	0.772019718644744	2.90690055843883
m45784_ID1354_1	0.878268252342254	0.861437752554796	1.91632792629962
m57867_ID1792_1	0.534945101640897	0.519933248926389	2.80624173741568
m57869_ID1792_3	0.834126510887569	0.818111779586271	1.91994033186376
57871_ID1792_5	0.75887536483705	0.744451103060605	1.90074186682053
57874_ID1792_8	0.761541793225249	0.74379573266282	2.33028058608198
m96542_ID2713_1	2.41068546513083	2.36351765312678	1.95661411189113
m96543_ID2713_2	1.96244688996429	1.91926981028676	2.20016551267401
m96544_ID2713_3	1.33165328313939	1.30584811892486	1.93782905364785
96545_ID2713_4	2.20196862315094	2.16096040171018	1.8623435869887
m96546_ID2713_5	2.32271249412209	2.27827604162837	1.91312754403188
m96547_ID2713_6	1.18819436357995	1.16251347621672	2.16133724838207
96548_ID2713_7	0.967749959116513	0.945703361682323	2.27812951336275
96549_ID2713_8	0.694481978458648	0.678690538105653	2.2738445118536
m96550_ID2713_9	0.969528300371914	0.95209929833995	1.79767852318267
m96551_ID2713_10	0.774693809980995	0.758384396281967	2.10527223645016
m96552_ID2713_11	0.65225226491583	0.637687668082687	2.23296991310907
m96553_ID2713_12	0.843345495615604	0.83061606211136	1.50939722455656
