NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS		70	0.36465195	1.5214952	0.016474465	0.16196893	1.0	4169	tags=37%, list=28%, signal=51%	
BASSO_CD40_SIGNALING_UP	BASSO_CD40_SIGNALING_UP		84	0.35305965	1.5212966	0.01898734	0.16176344	1.0	1395	tags=21%, list=9%, signal=23%	
MIKKELSEN_IPS_ICP_WITH_H3K4ME3_AND_H327ME3	MIKKELSEN_IPS_ICP_WITH_H3K4ME3_AND_H327ME3		103	0.33966768	1.5191529	0.007987221	0.16394255	1.0	3911	tags=41%, list=26%, signal=55%	
ZWANG_CLASS_2_TRANSIENTLY_INDUCED_BY_EGF	ZWANG_CLASS_2_TRANSIENTLY_INDUCED_BY_EGF		41	0.40983117	1.5189481	0.021630615	0.16377382	1.0	2275	tags=29%, list=15%, signal=34%	
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS	REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS		32	0.42739692	1.5186919	0.03259005	0.16368212	1.0	2798	tags=34%, list=19%, signal=42%	
REACTOME_DEVELOPMENTAL_CELL_LINEAGES	REACTOME_DEVELOPMENTAL_CELL_LINEAGES		91	0.34537995	1.5183641	0.013761468	0.16373414	1.0	3269	tags=34%, list=22%, signal=43%	
VALK_AML_CLUSTER_16	VALK_AML_CLUSTER_16		20	0.4915927	1.5174412	0.04379562	0.16435716	1.0	993	tags=25%, list=7%, signal=27%	
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN	BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN		27	0.45188186	1.5171566	0.030303031	0.16427505	1.0	3708	tags=52%, list=25%, signal=69%	
REACTOME_SYNTHESIS_OF_DNA	REACTOME_SYNTHESIS_OF_DNA		103	0.3401024	1.517087	0.013953488	0.16393971	1.0	4522	tags=38%, list=30%, signal=54%	
KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS		15	0.53345156	1.5169955	0.041594453	0.1636394	1.0	4219	tags=60%, list=28%, signal=83%	
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN	SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN		28	0.4444139	1.5151799	0.036777582	0.16542795	1.0	3451	tags=39%, list=23%, signal=51%	
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM		35	0.4197918	1.5145277	0.024822695	0.1657429	1.0	4315	tags=54%, list=29%, signal=76%	
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS		32	0.43105438	1.5144792	0.025510205	0.16537672	1.0	5497	tags=59%, list=36%, signal=93%	
BASSO_CD40_SIGNALING_DN	BASSO_CD40_SIGNALING_DN		60	0.36742872	1.5139701	0.025723472	0.16556922	1.0	3218	tags=40%, list=21%, signal=51%	
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN		175	0.31637585	1.5129569	0.0014513788	0.1664198	1.0	5979	tags=51%, list=40%, signal=84%	
CADWELL_ATG16L1_TARGETS_UP	CADWELL_ATG16L1_TARGETS_UP		74	0.3609791	1.5126295	0.012861736	0.16638273	1.0	3937	tags=39%, list=26%, signal=53%	
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN		56	0.3806623	1.5117723	0.018003274	0.16699384	1.0	3768	tags=39%, list=25%, signal=52%	
BUFFA_HYPOXIA_METAGENE	BUFFA_HYPOXIA_METAGENE		46	0.40023178	1.5108986	0.025423728	0.16772082	1.0	5148	tags=52%, list=34%, signal=79%	
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY		25	0.45690778	1.5105515	0.02300885	0.16779809	1.0	2798	tags=44%, list=19%, signal=54%	
GROSS_ELK3_TARGETS_DN	GROSS_ELK3_TARGETS_DN		30	0.4345584	1.5092524	0.041666668	0.16902116	1.0	4811	tags=57%, list=32%, signal=83%	
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	MIKKELSEN_NPC_HCP_WITH_H3K27ME3		288	0.29398695	1.5081489	0.0013986015	0.16999714	1.0	3783	tags=39%, list=25%, signal=50%	
KONDO_PROSTATE_CANCER_WITH_H3K27ME3	KONDO_PROSTATE_CANCER_WITH_H3K27ME3		94	0.3461711	1.5081419	0.0082236845	0.16959219	1.0	4030	tags=46%, list=27%, signal=62%	
ELVIDGE_HIF1A_TARGETS_DN	ELVIDGE_HIF1A_TARGETS_DN		86	0.3546575	1.5081413	0.014150944	0.16917549	1.0	2823	tags=30%, list=19%, signal=37%	
WP_VITAMIN_D_RECEPTOR_PATHWAY	WP_VITAMIN_D_RECEPTOR_PATHWAY		135	0.3209477	1.5068127	0.0094191525	0.17045197	1.0	3258	tags=30%, list=22%, signal=38%	
KEGG_PHENYLALANINE_METABOLISM	KEGG_PHENYLALANINE_METABOLISM		16	0.52193534	1.5066719	0.04681648	0.17019404	1.0	3236	tags=38%, list=21%, signal=48%	
RODWELL_AGING_KIDNEY_UP	RODWELL_AGING_KIDNEY_UP		410	0.28418377	1.5060221	0.0	0.17059188	1.0	3714	tags=32%, list=25%, signal=41%	
HUMMERICH_SKIN_CANCER_PROGRESSION_UP	HUMMERICH_SKIN_CANCER_PROGRESSION_UP		77	0.3534616	1.5052891	0.01655629	0.17113897	1.0	3768	tags=34%, list=25%, signal=45%	
MOOTHA_GLUCONEOGENESIS	MOOTHA_GLUCONEOGENESIS		27	0.44830903	1.5049804	0.04411765	0.1711096	1.0	5095	tags=74%, list=34%, signal=112%	
ONDER_CDH1_TARGETS_3_DN	ONDER_CDH1_TARGETS_3_DN		46	0.39804015	1.5045714	0.029876977	0.17126688	1.0	4281	tags=48%, list=28%, signal=67%	
SENESE_HDAC2_TARGETS_DN	SENESE_HDAC2_TARGETS_DN		109	0.33380798	1.5044143	0.0063091484	0.17104663	1.0	3117	tags=32%, list=21%, signal=40%	
TSUNODA_CISPLATIN_RESISTANCE_DN	TSUNODA_CISPLATIN_RESISTANCE_DN		39	0.41465107	1.5040876	0.03559322	0.17107534	1.0	2978	tags=41%, list=20%, signal=51%	
ODONNELL_TFRC_TARGETS_UP	ODONNELL_TFRC_TARGETS_UP		291	0.29323876	1.503935	0.0028490028	0.17085177	1.0	2262	tags=25%, list=15%, signal=29%	
BOYLAN_MULTIPLE_MYELOMA_D_DN	BOYLAN_MULTIPLE_MYELOMA_D_DN		72	0.35994256	1.5033098	0.01300813	0.1712255	1.0	2895	tags=28%, list=19%, signal=34%	
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	MCBRYAN_PUBERTAL_BREAST_3_4WK_UP		187	0.30729553	1.5029753	0.006116208	0.17123659	1.0	2474	tags=25%, list=16%, signal=30%	
WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY	WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY		91	0.34333217	1.5015999	0.006441224	0.1725785	1.0	3369	tags=37%, list=22%, signal=48%	
YAMASHITA_LIVER_CANCER_STEM_CELL_DN	YAMASHITA_LIVER_CANCER_STEM_CELL_DN		53	0.381406	1.5009831	0.022260275	0.17296302	1.0	2421	tags=28%, list=16%, signal=34%	
SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP	SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP		80	0.35496396	1.5008845	0.012480499	0.17270035	1.0	3531	tags=38%, list=23%, signal=49%	
MENSE_HYPOXIA_UP	MENSE_HYPOXIA_UP		86	0.34192804	1.4996943	0.017268445	0.17381337	1.0	4036	tags=36%, list=27%, signal=49%	
DOANE_BREAST_CANCER_ESR1_UP	DOANE_BREAST_CANCER_ESR1_UP		93	0.3450854	1.4995846	0.017133957	0.1735388	1.0	3686	tags=41%, list=24%, signal=54%	
