NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS	REACTOME_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS		34	-0.26729053	-1.0051534	0.43640897	0.75273424	1.0	5004	tags=50%, list=33%, signal=75%	
GUO_HEX_TARGETS_UP	GUO_HEX_TARGETS_UP		72	-0.22307816	-1.0046135	0.4362245	0.75387174	1.0	3419	tags=22%, list=23%, signal=29%	
REACTOME_BASIGIN_INTERACTIONS	REACTOME_BASIGIN_INTERACTIONS		21	-0.2983932	-1.004392	0.43891403	0.75401986	1.0	2170	tags=24%, list=14%, signal=28%	
REACTOME_HIV_INFECTION	REACTOME_HIV_INFECTION		202	-0.18840566	-1.0042056	0.4375	0.753998	1.0	2423	tags=16%, list=16%, signal=19%	
YAGI_AML_WITH_11Q23_REARRANGED	YAGI_AML_WITH_11Q23_REARRANGED		302	-0.17778602	-1.003105	0.43816254	0.75694746	1.0	2232	tags=17%, list=15%, signal=20%	
FIGUEROA_AML_METHYLATION_CLUSTER_2_UP	FIGUEROA_AML_METHYLATION_CLUSTER_2_UP		47	-0.24777228	-1.0028127	0.45641026	0.75728047	1.0	2702	tags=28%, list=18%, signal=34%	
YAGI_AML_WITH_INV_16_TRANSLOCATION	YAGI_AML_WITH_INV_16_TRANSLOCATION		349	-0.17748344	-1.0024143	0.4128114	0.75788087	1.0	2755	tags=22%, list=18%, signal=27%	
WP_WNT_SIGNALING	WP_WNT_SIGNALING		103	-0.20738088	-1.0019926	0.4441341	0.7586324	1.0	1294	tags=16%, list=9%, signal=17%	
REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS	REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS		54	-0.24226822	-1.0018365	0.4372093	0.75852925	1.0	2623	tags=22%, list=17%, signal=27%	
GRUETZMANN_PANCREATIC_CANCER_DN	GRUETZMANN_PANCREATIC_CANCER_DN		171	-0.19146669	-1.0011675	0.47839507	0.76008767	1.0	3500	tags=28%, list=23%, signal=36%	
RICKMAN_METASTASIS_DN	RICKMAN_METASTASIS_DN		226	-0.18696342	-1.0005314	0.41691843	0.76154035	1.0	2891	tags=24%, list=19%, signal=30%	
PID_REG_GR_PATHWAY	PID_REG_GR_PATHWAY		59	-0.23088697	-1.0004553	0.4562334	0.76121014	1.0	2880	tags=31%, list=19%, signal=38%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES		47	-0.2500854	-1.0004091	0.4352078	0.76076734	1.0	4317	tags=38%, list=29%, signal=53%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION		77	-0.21997555	-0.9999408	0.44935066	0.7616601	1.0	3220	tags=26%, list=21%, signal=33%	
HAN_JNK_SINGALING_UP	HAN_JNK_SINGALING_UP		28	-0.2757602	-0.9996881	0.48752835	0.76182884	1.0	2983	tags=32%, list=20%, signal=40%	
NABA_MATRISOME_HIGHLY_METASTATIC_MELANOMA	NABA_MATRISOME_HIGHLY_METASTATIC_MELANOMA		18	-0.31121078	-0.999529	0.44591612	0.76171064	1.0	4664	tags=56%, list=31%, signal=80%	
JIANG_AGING_CEREBRAL_CORTEX_UP	JIANG_AGING_CEREBRAL_CORTEX_UP		29	-0.2776752	-0.9987191	0.43028846	0.7636461	1.0	1755	tags=24%, list=12%, signal=27%	
RODRIGUES_THYROID_CARCINOMA_UP	RODRIGUES_THYROID_CARCINOMA_UP		16	-0.31742814	-0.99871176	0.4527027	0.76306266	1.0	1899	tags=25%, list=13%, signal=29%	
STREICHER_LSM1_TARGETS_UP	STREICHER_LSM1_TARGETS_UP		41	-0.24865915	-0.9986376	0.46534654	0.76270205	1.0	1547	tags=17%, list=10%, signal=19%	
GENTILE_UV_RESPONSE_CLUSTER_D6	GENTILE_UV_RESPONSE_CLUSTER_D6		29	-0.27557018	-0.9985412	0.46363637	0.76242703	1.0	1156	tags=14%, list=8%, signal=15%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA		46	-0.24379931	-0.9985359	0.4509346	0.7618448	1.0	4317	tags=35%, list=29%, signal=49%	
SUZUKI_RESPONSE_TO_TSA_AND_DECITABINE_1A	SUZUKI_RESPONSE_TO_TSA_AND_DECITABINE_1A		18	-0.32103282	-0.9984656	0.4221698	0.7614567	1.0	1667	tags=22%, list=11%, signal=25%	
WP_ALBUTEROL_AND_BUDESONIDE_THERAPY_FOR_ASTHMA	WP_ALBUTEROL_AND_BUDESONIDE_THERAPY_FOR_ASTHMA		19	-0.30616242	-0.9983444	0.45454547	0.7612674	1.0	1107	tags=16%, list=7%, signal=17%	
