set	NAME	NES	ES	FDR.q.val	leading_edge_genes
c5_GO	GOCC_CYTOSOLIC_RIBOSOME	-3.1641016	-0.65616065	0	RPS14; RPS26; RPL31; RPL36AL; DDX3X; RPL26; RPS4X; RPL35; RPS21; RPL27A; RPS25; RPL38; RPL37A; RPS29; RPL32; RPS7; RPL35A; RPS3; RPL27; RPS3A; RPL12; RPL10A; RPL14; RPS24; RPL23A; RPLP1; RPL11; RPS15A; RPL18A; RPL8; RPL6; RPS27; RPL36; RPL15; RPL7; RPL4; UBA52; RPS6; RPS16; RPS15; RPS27L; RPS23; RPL19; RPS8; RPS20; RPL10; RACK1; RPS2; ZCCHC17; ZNF598; RPL29; RPL7A; RPLP0; RPL30; RPL3; RPS5; RPS28; RPL18; RPL22; RPL5; RPS11; RPS19; RPL28; RPS9; RPL13A
c5_GO	GOBP_CYTOPLASMIC_TRANSLATION	-2.9309888	-0.5662921	0	HNRNPD; RPL26; RPS4X; RPL35; RPS21; RPL27A; RPS25; RPL38; GTPBP1; RPL37A; ZNF385A; RPS29; EIF3H; RPL32; CPEB4; RPS7; RPL35A; UNK; RPS3; YTHDF2; EIF2S3B; RPL27; RPS3A; PABPC1; RPL12; RPL10A; RPL14; PKP1; RPS24; RPL23A; AKT2; RPLP1; RPL11; RPS15A; RPL18A; METTL3; RPL8; EIF3E; EIF4B; RPL6; RPS27; RPL36; RPL15; RPL7; RPL4; UBA52; EIF2B4; RPS6; EIF3G; RPS16; RPS15; RPS23; RPL19; RPS8; RPS20; RPL10; EIF3L; EIF2B5; RACK1; RPS2; EIF3F; RPL29; RPL7A; YBX1; RPLP0; RPL30; RPL3; RPS5; RPS28; RPL18; RPL22; EEF1D; RPL5; RPS11; RPS19; RPL28; EEF2; RPS9; RPL13A
c5_GO	GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	-2.8302748	-0.6915445	0	RPL31; RPL36AL; RPL26; RPL35; RPL27A; RPL38; RPL37A; RPL32; RPL35A; RPL27; RPL12; RPL10A; RPL14; RPL23A; RPLP1; RPL11; RPL18A; RPL8; RPL6; RPL36; RPL15; RPL7; RPL4; UBA52; RPL19; RPL10; ZCCHC17; RPL29; RPL7A; RPLP0; RPL30; RPL3; RPL18; RPL22; RPL5; RPL28; RPL13A
c5_GO	GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	-2.8293579	-0.7068209	0	RPS14; RPS26; DDX3X; RPS4X; RPS21; RPS25; RPS29; RPS7; RPS3; RPS3A; RPS24; RPS15A; RPS27; RPS6; RPS16; RPS15; RPS27L; RPS23; RPS8; RPS20; RACK1; RPS2; RPS5; RPS28; RPS11; RPS19; RPS9
c5_GO	GOCC_PRERIBOSOME	-2.5362427	-0.5335217	0	NOC4L; IMP4; ZNF622; UTP18; RPS14; RRP9; IMP3; FTSJ3; RPS4X; TBL3; NOC2L; SNU13; UTP14A; RPS7; PDCD11; FBL; KRI1; WDR3; PES1; RPS3A; EXOSC10; DHX37; FBLL1; NOP14; RPS24; RPS15A; PPAN; NOP9; RPS27; RPS6; RPS16; RPS23; RPS8; RRP1; RRS1; WDR12; BOP1; RPS5; RPS28; RRP1B; RPS11; NOP56; RPS19; RPS9
c5_GO	GOCC_RIBOSOMAL_SUBUNIT	-2.4974039	-0.4800104	0	RPS14; RPS26; RPL31; RPL36AL; MRPS2; MRPL30; DDX3X; RPL26; RPS4X; RPL35; RPS21; MTERF4; RPL27A; RPS25; RPL38; RPL37A; MRPL15; RPS29; RPL32; RPS7; RPL35A; RPS3; RPL27; RPS3A; RPL12; RPL10A; RPL14; RPS24; MRPL50; RPL23A; RPLP1; RPL11; RPS15A; RPL18A; RPL8; RPL6; RPS27; MRPL54; RPL36; RPL15; RPL7; RPL4; MRPS18A; UBA52; RPS6; MRPS26; RPS16; RPS15; RPS27L; RPS23; RPL19; RPS8; RPS20; RPL10; RACK1; MRPS34; RPS2; ZCCHC17; RPL29; MRPL12; RPL7A; RPLP0; RPL30; RPL3; RPS5; RPS28; RPL18; RPL22; RPL5; RPS11; RPS19; RPL28; RPS9; RPL13A; RBM3
c5_GO	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	-2.4785304	-0.48439237	0	RPS14; RPS26; RPL31; RPL36AL; MRPS2; MRPL30; RPL26; RPS4X; RPL35; RPS21; RPL27A; RPS25; RPL38; RPL37A; MRPL15; RPS29; RPL32; RPS7; RPL35A; RPS3; RPL27; RPS3A; RPL12; RPL10A; RPL14; RPS24; RPL23A; RPLP1; RPL11; RPS15A; RPL18A; RPL8; RPL6; RPS27; MRPL54; RPL36; RPL15; RPL7; RPL4; MRPS18A; UBA52; RPS6; RPS16; RPS15; RPS27L; RPS23; RPL19; RPS8; RPS20; RPL10; MRPS34; RPS2; RPL29; MRPL12; RPL7A; RPLP0; RPL30; RPL3; RPS5; RPS28; RPL18; RPL22; RPL5; RPS11; RPS19; RPL28; RPS9; RPL13A
c5_GO	HP_NORMOCHROMIC_ANEMIA	-2.431631	-0.6330386	0.00015534207	RPS26; RPL31; SRSF2; RPL26; RPL35; RPS29; RPS7; SCARB2; LCAT; RPL35A; RPL27; RPS24; HEATR3; RPL11; RPS15A; RPL8; RPS27; RPL15; RPS20; RPS28; RPL18; RPL5; TET2; RPS19
c5_GO	GOCC_SMALL_SUBUNIT_PROCESSOME	-2.3837864	-0.52676934	0.000692045	NOC4L; IMP4; UTP18; RPS14; RRP9; IMP3; RPS4X; TBL3; SNU13; UTP14A; RPS7; PDCD11; FBL; WDR3; RPS3A; EXOSC10; DHX37; FBLL1; NOP14; RPS24; RPS15A; RPS27; RPS6; RPS16; RPS23; RPS8; RPS5; RPS28; RPS11; NOP56; RPS19; RPS9
c5_GO	GOCC_LARGE_RIBOSOMAL_SUBUNIT	-2.3473575	-0.48616543	0.0012420348	RPL31; RPL36AL; MRPL30; RPL26; RPL35; MTERF4; RPL27A; RPL38; RPL37A; MRPL15; RPL32; RPL35A; RPL27; RPL12; RPL10A; RPL14; MRPL50; RPL23A; RPLP1; RPL11; RPL18A; RPL8; RPL6; MRPL54; RPL36; RPL15; RPL7; RPL4; MRPS18A; UBA52; RPL19; RPL10; ZCCHC17; RPL29; MRPL12; RPL7A; RPLP0; RPL30; RPL3; RPL18; RPL22; RPL5; RPL28; RPL13A; RBM3
