set	NAME	NES	ES	FDR.q.val	leading_edge_genes
hallmarks	HALLMARK_INTERFERON_ALPHA_RESPONSE	2.8712146	0.65199935	0	MOV10; OASL; CD47; CASP1; PARP9; IRF2; UBE2L6; HLA-C; NUB1; PSMB8; BST2; SAMD9L; PARP14; NMI; PLSCR1; DHX58; CASP8; DDX60; PARP12; IRF1; LAMP3; IFIH1; GMPR; CXCL10; RTP4; TRIM21; PSME2; UBA7; CMTR1; PSME1; OAS1; TMEM140; LGALS3BP; SELL; TAP1; RSAD2; BATF2; SP110; SAMD9; LY6E; GBP4; B2M; GBP2; IRF7; IL15; MX1; EIF2AK2; HELZ2; IFI44; TRIM14; CMPK2; IFI44L; C1S
hallmarks	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.6534305	0.5455944	0	SERPING1; ST8SIA4; OASL; CASP1; CD274; IRF2; UBE2L6; VCAM1; HLA-B; ZBP1; PSMB8; UPP1; APOL6; BST2; SAMD9L; PARP14; NMI; BANK1; NOD1; SSPN; ITGB7; NAMPT; MARCHF1; PLSCR1; IRF5; TMT1B; DHX58; CASP8; DDX60; PARP12; TNFSF10; CMKLR1; CD40; IRF1; SOCS3; IFIH1; TAPBP; CXCL10; RTP4; TRIM21; PSME2; PIM1; CMTR1; PSME1; OAS3; LGALS3BP; TNFAIP2; TAP1; PSMB10; RSAD2; ISOC1; BATF2; IL10RA; CD69; SP110; AUTS2; PSMB2; LY6E; GBP4; B2M; C1R; XAF1; OAS2; IRF7; GPR18; IL15; CASP7; SELP; GCH1; MX1; VAMP8; EIF2AK2; HELZ2; CCL7; RIPK1; IFI44; IDO1; IRF8; TRIM14; CMPK2; PML; IFI44L; C1S; CD86; GBP6; CXCL11; GZMA; SOCS1
hallmarks	HALLMARK_INFLAMMATORY_RESPONSE	1.9821694	0.4158776	0	BST2; TACR1; NMI; MET; CALCRL; CD70; NAMPT; GPR183; CX3CL1; CHST2; TNFSF10; CMKLR1; CD40; IRF1; LAMP3; TNFRSF1B; ICOSLG; TAPBP; CXCL10; RTP4; KCNMB2; C5AR1; ATP2C1; P2RY2; ROS1; ACVR2A; TLR3; PTAFR; MEFV; C3AR1; SELL; EBI3; GPR132; SCARF1; IL10RA; CD69; MARCO; HRH1; TNFSF15; SELE; OSMR; LY6E; LTA; SLC31A2; IL18R1; RGS16; IRF7; IL15; GCH1; GNA15; EIF2AK2; CCL7; VIP; GP1BA; IRAK2; SEMA4D; IL18RAP; CCL24; LCK; RGS1; CXCL11; EDN1; ADM; IL2RB; SLC7A2; RELA; TIMP1; CXCL9; CCL20; GNAI3; EREG; LCP2; PTGER4
hallmarks	HALLMARK_ALLOGRAFT_REJECTION	1.8590224	0.39646012	0.0012581547	HLA-E; ST8SIA4; DARS1; CD47; HLA-DOB; MAP4K1; FGR; CD40; ITGAL; ICOSLG; TAP2; TAPBP; KLRD1; MMP9; CD8A; CAPG; MRPL3; ACVR2A; TLR3; MAP3K7; IFNGR1; GPR65; TAP1; PSMB10; CD1D; PRKCB; LY75; CTSS; IL27RA; B2M; GBP2; GCNT1; RPL3L; IRF7; HCLS1; IL15; BCL10; MTIF2; CCL7; TGFB2; F2R; CD4; IL12RB1; IRF8; ELF4; IL18RAP; LCK; LTB; CCR1; CD86; GZMA; SOCS1; ITGB2; IL2RB; TIMP1; STAT1; FYB1; NCK1; CXCL9; EREG; WAS; LCP2; CDKN2A
hallmarks	HALLMARK_FATTY_ACID_METABOLISM	1.804762	0.3851293	0.0016068914	CA4; UBE2L6; EPHX1; CPT2; PRDX6; DLD; AQP7; VNN1; MIX23; CA2; ACSM3; IL4I1; CRYZ; DHCR24; BCKDHB; SMS; HADHB; PSME1; HMGCL; ACSL5; TDO2; ACADM; ALDH1A1; ECI2; CD1D; ACADL; PCBD1; BLVRA; ADH1C; LTC4S; MGLL; MDH2; GAD2; CRAT; GABARAPL1; HPGD; CYP1A1; ACAT2; ALDH3A1; ELOVL5; SLC22A5; DECR1; ACOX1; HIBCH; ODC1; SERINC1; HADH
hallmarks	HALLMARK_BILE_ACID_METABOLISM	1.7546623	0.39888108	0.0030390327	EFHC1; ABCA5; PEX7; SLC22A18; PECR; CROT; PNPLA8; GSTK1; DIO2; SCP2; DHCR24; APOA1; SOAT2; ACSL5; CYP39A1; HSD17B6; ALDH1A1; ABCA4; SLC27A2; ISOC1; ATXN1; HACL1; CH25H; PEX12; NUDT12; PEX1; PEX6; PIPOX; SULT2B1; NR1I2; LCK; PEX19; GCLM; PRDX5; HSD3B7; AKR1D1; PEX13; NEDD4; ALDH9A1; PFKM; BBOX1; FADS1; AGXT; KLF1
hallmarks	HALLMARK_KRAS_SIGNALING_DN	1.6278616	0.34626278	0.012778126	TENT5C; THNSL2; CCNA1; EGF; PAX3; ZC2HC1C; PDE6B; GPR3; PLAG1; FGGY; MYO15A; CHST2; SELENOP; THRB; ABCB11; SYNPO; MFSD6; WNT16; CYP39A1; KCNMB1; TFAP2B; MEFV; CLSTN3; SLC12A3; HTR1D; ALOX12B; RSAD2; P2RY4; LGALS7; IRS4; CDKAL1; EDN2; UPK3B; CAPN9; EFHD1; YBX2; TENM2; CPA2; HNF1A; DTNB; MX1; LYPD3; C5; TGFB2; KRT5; KRT15; GP1BA; TG; IFI44L; EDAR; EDN1; KRT13; HSD11B2; BARD1; SLC6A14; NOS1; CACNA1F; KCNN1; AKR1B10; GPRC5C; TEX15; VPS50; EPHA5; SLC5A5
hallmarks	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-1.9711008	-0.40232256	0.0008095238	DCP2; DCP1A; DNAJC3; PDIA6; GOSR2; ATF6; FKBP14; EIF4A2; EIF4EBP1; GEMIN4; SKIC3; HSPA5; ATP6V0D1; LSM4; EXOSC1; RPS14; RRP9; DKC1; HSP90B1; SPCS3; IMP3; CNOT2; H2AX; SEC11A; SRPRB; DCTN1; NOLC1; HYOU1; EXOSC2; XBP1; KHSRP; DNAJB9; EXOSC10; NOP14; EDC4; EIF2AK3; LSM1; EXOSC5; PREB; ZBTB17; ARFGAP1; SLC1A4; ALDH18A1; CNOT6; NFYA; CXXC1; NOP56; EEF2
